area_id,area_name,price_per_sqft,congestion_score,aqi,growth_score,final_score,rank
10,Ravet,7000,4,135,7,0.8125,1.0
1,Wakad,9000,7,155,8,0.5548850574712644,2.0
8,Balewadi,10900,5,140,7,0.5441091954022989,3.0
2,Hinjawadi,8800,9,185,10,0.4902298850574712,4.0
7,Pimple Saudagar,9500,6,145,6,0.48735632183908045,5.0
9,Hadapsar,9000,8,195,9,0.434051724137931,6.0
4,Kharadi,10500,7,190,9,0.42313218390804597,7.0
5,Aundh,12000,6,150,7,0.4038793103448276,8.0
6,Baner,11500,7,165,8,0.39224137931034486,9.0
3,Viman Nagar,12800,8,175,8,0.24166666666666667,10.0
